RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
1_150_30,150,30,1,-1,3.5251058704518243,9,0
3_150_30,150,30,3,-1,4.689079545848686,13,0
2_150_30,150,30,2,-1,4.704128126704569,12,0
1_150_30,150,30,1,0,3.459832824776021,9,2
3_150_30,150,30,3,0,4.640280669483992,13,2
1_150_30,150,30,1,1,3.396924765031275,8,2
1_150_30,150,30,1,2,3.3300160172898527,7,3
3_150_30,150,30,3,1,4.635261433366836,14,9
2_150_30,150,30,2,0,4.29179048026184,12,11
3_150_30,150,30,3,2,4.633856424418963,13,3
3_150_30,150,30,3,3,4.632017431704031,12,3
3_150_30,150,30,3,4,4.628121979829605,12,3
3_150_30,150,30,3,5,4.626283075081709,11,6
3_150_30,150,30,3,6,4.110803246070251,12,1
3_150_30,150,30,3,7,3.877618306159609,12,2
2_150_30,150,30,2,1,4.025909972703589,12,14
1_150_30,150,30,1,3,3.320682103432956,8,50
2_150_30,150,30,2,2,3.914965865590593,11,5
2_150_30,150,30,2,3,3.8471078169291015,10,3
1_150_30,150,30,1,4,3.2421680177802163,7,12
2_150_30,150,30,2,4,3.777779610593952,9,2
2_150_30,150,30,2,5,3.684204057910266,8,3
3_150_30,150,30,3,8,3.759228765244636,12,21
3_150_30,150,30,3,9,3.75308515327811,11,6
1_150_30,150,30,1,5,3.238038831645153,7,25
3_150_30,150,30,3,10,3.7059777409832533,11,5
2_150_30,150,30,2,6,3.6265013841433156,7,24
1_150_30,150,30,1,6,2.8650904396143315,8,22
2_150_30,150,30,2,7,3.6177363690964532,6,10
1_150_30,150,30,1,7,2.797805042985412,9,5
3_150_30,150,30,3,11,3.6708421019215747,11,15
2_150_30,150,30,2,8,3.4517546362374056,7,34
1_150_30,150,30,1,8,2.7924926571416773,8,26
3_150_30,150,30,3,12,3.6239608831831935,10,24
2_150_30,150,30,2,9,3.3607963310940923,6,16
3_150_30,150,30,3,13,3.4180522208890856,10,13
3_150_30,150,30,3,14,3.4157375660371176,10,9
3_150_30,150,30,3,15,3.2953933808428646,11,14
1_150_30,150,30,1,9,2.7780715649383754,9,53
2_150_30,150,30,2,10,3.3607963310940923,6,56
4_150_30,150,30,4,-1,4.648611201335094,14,0
4_150_30,150,30,4,0,4.273651468516389,15,1
3_150_30,150,30,3,16,3.246041523304733,10,22
4_150_30,150,30,4,1,4.070226990936488,14,10
4_150_30,150,30,4,2,4.022714273931119,14,10
4_150_30,150,30,4,3,4.000570294249349,13,11
4_150_30,150,30,4,4,3.9507566276420554,13,1
1_150_30,150,30,1,10,2.7707567301495715,10,53
4_150_30,150,30,4,5,3.8960647488319684,13,3
4_150_30,150,30,4,6,3.638794411508413,13,11
4_150_30,150,30,4,7,3.612503640612722,13,3
3_150_30,150,30,3,17,3.227307821941678,10,60
3_150_30,150,30,3,18,3.1777272877523415,9,4
4_150_30,150,30,4,8,3.350956280498949,12,21
4_150_30,150,30,4,9,3.3488880719356766,12,14
4_150_30,150,30,4,10,3.330772502845475,11,3
4_150_30,150,30,4,11,3.302641667852071,11,2
4_150_30,150,30,4,12,3.286706552753783,11,9
1_150_30,150,30,1,11,2.7707567301495715,10,75
5_150_30,150,30,5,-1,3.901042486908798,14,0
5_150_30,150,30,5,0,3.871875067406064,15,1
5_150_30,150,30,5,1,3.7266579584438135,15,1
5_150_30,150,30,5,2,3.7254796131941523,14,6
3_150_30,150,30,3,19,3.1777272877523415,9,71
6_150_30,150,30,6,-1,4.653752702452848,12,0
5_150_30,150,30,5,3,3.437164910154203,14,2
6_150_30,150,30,6,0,3.5249403647864006,13,2
5_150_30,150,30,5,4,3.434031032507478,13,2
4_150_30,150,30,4,13,3.285200467253823,10,23
5_150_30,150,30,5,5,3.4306935648621537,12,14
4_150_30,150,30,4,14,3.2421680177802163,10,7
5_150_30,150,30,5,6,3.427342058908929,11,14
6_150_30,150,30,6,1,3.4774650131219786,13,27
6_150_30,150,30,6,2,3.4298262810423696,13,1
5_150_30,150,30,5,7,3.4018034326923057,11,11
5_150_30,150,30,5,8,3.383382167750657,11,3
5_150_30,150,30,5,9,3.3800306617974343,10,2
5_150_30,150,30,5,10,3.2916733570119563,10,5
5_150_30,150,30,5,11,3.288214100440015,9,7
6_150_30,150,30,6,3,3.382586597713031,12,21
5_150_30,150,30,5,12,3.2846546405043853,8,8
6_150_30,150,30,6,4,3.3346706817555596,12,5
5_150_30,150,30,5,13,3.1845226415654215,8,13
5_150_30,150,30,5,14,3.181070665240612,7,4
5_150_30,150,30,5,15,3.047994246471428,7,6
5_150_30,150,30,5,16,2.96221577726992,7,7
6_150_30,150,30,6,5,3.2002294800457567,12,16
5_150_30,150,30,5,17,2.914230810579896,8,1
5_150_30,150,30,5,18,2.878546419240331,7,1
6_150_30,150,30,6,6,3.16582774216289,12,1
4_150_30,150,30,4,15,3.2421680177802163,10,71
7_150_30,150,30,7,-1,4.9270088559020255,11,0
7_150_30,150,30,7,0,4.4920003388388,12,2
6_150_30,150,30,6,7,3.1057882328979547,12,8
6_150_30,150,30,6,8,3.0895822966547657,11,1
6_150_30,150,30,6,9,3.080199560759849,10,1
7_150_30,150,30,7,1,4.4038336350762854,12,9
7_150_30,150,30,7,2,3.4952186473735845,12,2
6_150_30,150,30,6,10,3.0700607539199845,9,11
7_150_30,150,30,7,3,3.4566525590439605,12,3
7_150_30,150,30,7,4,3.2458973203921415,12,2
6_150_30,150,30,6,11,3.058751227981798,8,11
7_150_30,150,30,7,5,3.2092256913140793,12,7
7_150_30,150,30,7,6,3.19786412423839,11,1
7_150_30,150,30,7,7,3.1839610418054263,10,2
5_150_30,150,30,5,19,2.878546419240331,7,63
8_150_30,150,30,8,-1,4.517787000816519,14,0
6_150_30,150,30,6,12,3.0476417965356566,7,12
8_150_30,150,30,8,0,4.173819522070535,14,3
6_150_30,150,30,6,13,3.0460074040578635,7,2
6_150_30,150,30,6,14,3.035349804989921,6,1
8_150_30,150,30,8,1,4.1272475702163405,14,5
8_150_30,150,30,8,2,4.114700151741272,13,3
7_150_30,150,30,7,8,3.1721971413980183,9,25
8_150_30,150,30,8,3,4.09853017182281,13,7
6_150_30,150,30,6,15,3.019098551915208,6,32
6_150_30,150,30,6,16,2.9472848578857183,5,7
7_150_30,150,30,7,9,3.158076183170961,8,12
7_150_30,150,30,7,10,3.150477341854445,8,1
8_150_30,150,30,8,4,4.092848249280867,13,8
8_150_30,150,30,8,5,3.927840739645384,13,2
7_150_30,150,30,7,11,3.09214736095748,7,14
8_150_30,150,30,8,6,3.5144643579315766,13,6
8_150_30,150,30,8,7,3.508890791922504,14,2
6_150_30,150,30,6,17,2.9472848578857183,5,41
9_150_30,150,30,9,-1,4.108604733942223,15,0
9_150_30,150,30,9,0,4.049942380486475,14,4
9_150_30,150,30,9,1,3.6124661284977333,13,5
9_150_30,150,30,9,2,3.5925063878418815,12,7
7_150_30,150,30,7,12,3.09214736095748,7,55
10_150_30,150,30,10,-1,4.213708339908835,12,0
9_150_30,150,30,9,3,3.562460383922114,11,6
10_150_30,150,30,10,0,4.150981372571381,13,3
10_150_30,150,30,10,1,3.9834627337855806,13,2
10_150_30,150,30,10,2,3.841501864986913,13,5
10_150_30,150,30,10,3,3.7994802465604347,13,1
9_150_30,150,30,9,4,3.53349142509818,10,10
8_150_30,150,30,8,8,3.4660327748598965,13,27
10_150_30,150,30,10,4,3.775275137914307,13,4
10_150_30,150,30,10,5,3.6092048079819095,13,8
10_150_30,150,30,10,6,3.5419878573557138,13,3
9_150_30,150,30,9,5,3.4779976479816272,9,16
10_150_30,150,30,10,7,3.3682583105220694,13,3
